"filename", "language", "Python", "Markdown", "HTML", "CSS", "JSON", "comment", "blank", "total"
"c:\Users\vyach\OneDrive\Документы\GitHub\howtomine\htm\htm\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\vyach\OneDrive\Документы\GitHub\howtomine\htm\htm\asgi.py", "Python", 4, 0, 0, 0, 0, 8, 5, 17
"c:\Users\vyach\OneDrive\Документы\GitHub\howtomine\htm\htm\settings.py", "Python", 70, 0, 0, 0, 0, 27, 33, 130
"c:\Users\vyach\OneDrive\Документы\GitHub\howtomine\htm\htm\urls.py", "Python", 12, 0, 0, 0, 0, 15, 2, 29
"c:\Users\vyach\OneDrive\Документы\GitHub\howtomine\htm\htm\wsgi.py", "Python", 4, 0, 0, 0, 0, 8, 5, 17
"c:\Users\vyach\OneDrive\Документы\GitHub\howtomine\htm\main\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\vyach\OneDrive\Документы\GitHub\howtomine\htm\main\admin.py", "Python", 6, 0, 0, 0, 0, 1, 4, 11
"c:\Users\vyach\OneDrive\Документы\GitHub\howtomine\htm\main\apps.py", "Python", 4, 0, 0, 0, 0, 0, 3, 7
"c:\Users\vyach\OneDrive\Документы\GitHub\howtomine\htm\main\calculators.py", "Python", 166, 0, 0, 0, 0, 11, 39, 216
"c:\Users\vyach\OneDrive\Документы\GitHub\howtomine\htm\main\forms.py", "Python", 14, 0, 0, 0, 0, 2, 4, 20
"c:\Users\vyach\OneDrive\Документы\GitHub\howtomine\htm\main\jsons\asics.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\vyach\OneDrive\Документы\GitHub\howtomine\htm\main\jsons\cards.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\vyach\OneDrive\Документы\GitHub\howtomine\htm\main\jsons\coins.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\vyach\OneDrive\Документы\GitHub\howtomine\htm\main\jsons\vcards.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\vyach\OneDrive\Документы\GitHub\howtomine\htm\main\migrations\0001_initial.py", "Python", 14, 0, 0, 0, 0, 1, 7, 22
"c:\Users\vyach\OneDrive\Документы\GitHub\howtomine\htm\main\migrations\0002_videocard_hashrate_no_code.py", "Python", 13, 0, 0, 0, 0, 1, 6, 20
"c:\Users\vyach\OneDrive\Документы\GitHub\howtomine\htm\main\migrations\0003_cryptocoin.py", "Python", 14, 0, 0, 0, 0, 1, 6, 21
"c:\Users\vyach\OneDrive\Документы\GitHub\howtomine\htm\main\migrations\0004_cryptocoin_hashrate_no_code.py", "Python", 13, 0, 0, 0, 0, 1, 6, 20
"c:\Users\vyach\OneDrive\Документы\GitHub\howtomine\htm\main\migrations\0005_asics.py", "Python", 15, 0, 0, 0, 0, 1, 6, 22
"c:\Users\vyach\OneDrive\Документы\GitHub\howtomine\htm\main\migrations\0006_duals.py", "Python", 14, 0, 0, 0, 0, 1, 6, 21
"c:\Users\vyach\OneDrive\Документы\GitHub\howtomine\htm\main\migrations\0007_rename_first_duals_pair.py", "Python", 12, 0, 0, 0, 0, 1, 6, 19
"c:\Users\vyach\OneDrive\Документы\GitHub\howtomine\htm\main\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\vyach\OneDrive\Документы\GitHub\howtomine\htm\main\models.py", "Python", 20, 0, 0, 0, 0, 1, 8, 29
"c:\Users\vyach\OneDrive\Документы\GitHub\howtomine\htm\main\presenters.py", "Python", 89, 0, 0, 0, 0, 0, 9, 98
"c:\Users\vyach\OneDrive\Документы\GitHub\howtomine\htm\main\static\calc_profit_page.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\vyach\OneDrive\Документы\GitHub\howtomine\htm\main\static\project_base.css", "CSS", 0, 0, 0, 175, 0, 21, 34, 230
"c:\Users\vyach\OneDrive\Документы\GitHub\howtomine\htm\main\templates\calc_asics_profit_page.html", "HTML", 0, 0, 123, 0, 0, 0, 13, 136
"c:\Users\vyach\OneDrive\Документы\GitHub\howtomine\htm\main\templates\calc_profit_page.html", "HTML", 0, 0, 198, 0, 0, 3, 16, 217
"c:\Users\vyach\OneDrive\Документы\GitHub\howtomine\htm\main\templates\main_page.html", "HTML", 0, 0, 41, 0, 0, 0, 4, 45
"c:\Users\vyach\OneDrive\Документы\GitHub\howtomine\htm\main\templates\make_conf_page.html", "HTML", 0, 0, 170, 0, 0, 2, 5, 177
"c:\Users\vyach\OneDrive\Документы\GitHub\howtomine\htm\main\tests.py", "Python", 1, 0, 0, 0, 0, 1, 2, 4
"c:\Users\vyach\OneDrive\Документы\GitHub\howtomine\htm\main\views.py", "Python", 209, 0, 0, 0, 0, 6, 32, 247
"c:\Users\vyach\OneDrive\Документы\GitHub\howtomine\htm\manage.py", "Python", 15, 0, 0, 0, 0, 3, 5, 23
"c:\Users\vyach\OneDrive\Документы\GitHub\howtomine\vkozickiy_application.md", "Markdown", 0, 69, 0, 0, 0, 0, 13, 82
"c:\Users\vyach\OneDrive\Документы\GitHub\howtomine\vkozickiy_user_scripts.md", "Markdown", 0, 77, 0, 0, 0, 0, 8, 85
"Total", "-", 709, 146, 532, 175, 4, 116, 291, 1973